CODCLIENTE;NOME;CIDADE;UF;DATA;NRODOCUMENTO;VENDEDOR;CODPRODUTO;PRODUTO;CODCOR;FAMILIA;GRUPO;MARCA;QTDE;PRECO;VALTOTAL;TIPO;
4467;ATACADAO S.A.;Itajaí;SC;01/08/2026;294752;OPERACAO BAUDUCCO;40004053;VISCONTI BISNAGUINHA 240G;;PRATA;MERCEARIA;VISCONTI;72;34,92;2514,24;VENDA;
4467;ATACADAO S.A.;Itajaí;SC;01/08/2026;294752;OPERACAO BAUDUCCO;243490;BAUDUCCO PAO INTEGRAL 390G;;PRATA;MERCEARIA;BAUDUCCO;36;59,8;2152,8;VENDA;
4467;ATACADAO S.A.;Itajaí;SC;01/08/2026;294752;OPERACAO BAUDUCCO;243489;BAUDUCCO PAO TRADICIONAL 390G;;PRATA;MERCEARIA;BAUDUCCO;81;50,6;4098,6;VENDA;
4467;ATACADAO S.A.;Itajaí;SC;01/08/2026;294752;OPERACAO BAUDUCCO;108279;VISCONTI PAO INTEGRAL 400G;;PRATA;MERCEARIA;VISCONTI;81;52,7;4268,7;VENDA;
4467;ATACADAO S.A.;Itajaí;SC;01/08/2026;294753;OPERACAO BAUDUCCO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;243;39,9;9695,7;VENDA;
4466;ATACADAO S.A.;Blumenau;SC;01/08/2026;294754;OPERACAO BAUDUCCO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;162;39,9;6463,8;VENDA;
4466;ATACADAO S.A.;Blumenau;SC;01/08/2026;294755;OPERACAO BAUDUCCO;40004053;VISCONTI BISNAGUINHA 240G;;PRATA;MERCEARIA;VISCONTI;32;34,92;1117,44;VENDA;
4466;ATACADAO S.A.;Blumenau;SC;01/08/2026;294755;OPERACAO BAUDUCCO;243489;BAUDUCCO PAO TRADICIONAL 390G;;PRATA;MERCEARIA;BAUDUCCO;81;50,6;4098,6;VENDA;
5411;SUPERMERCADOS ALVES FERREIRA LTDA;Blumenau;SC;01/08/2026;294756;VENDEDOR: RODRIGO;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;1500;3,49;5235;VENDA;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;102400;AVIACAO MANTEIGA TABLETE 200G COM SAL;;OURO;REFRIGERADO;AVIAÇÃO;5;-14,81;-74,05;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12183959;CHAMYTO BIG LEITE FERM 6X120G CONJUNTO;;PRATA;REFRIGERADO;NESTLE;3;-10,74;-32,22;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12277332;CHANDELLE 180g CHOCOLATE;;OURO;REFRIGERADO;NESTLE;2;-5,49;-10,98;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12281365;CHANDELLE 360g CHOCOLATE BRANCO;;OURO;REFRIGERADO;NESTLE;2;-8,99;-17,98;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12334187;CHAMBINHO PETIT 320g MORANGO;;OURO;REFRIGERADO;NESTLE;4;-7,99;-31,96;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12342556;NESTLE IOG 170g NATURAL COM MEL;;PRATA;REFRIGERADO;NESTLE;5;-2,99;-14,95;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12342565;NESTLE REQUEIJAO 200g CREM LIGHT;;PRATA;REFRIGERADO;NESTLE;4;-6,99;-27,96;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12342566;NESTLE REQUEIJAO 200g CREM TRAD;;PRATA;REFRIGERADO;NESTLE;4;-6,99;-27,96;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12343045;CHAMYTO LEITE FERM  450G PACK;;PRATA;REFRIGERADO;NESTLE;3;-5,99;-17,97;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12343321;NINHO IOG 170g LIQ MACA/BANANA;;OURO;REFRIGERADO;NESTLE;3;-3,49;-10,47;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12354539;CHAMYTO GO IOGURTE 100g VITAMINA;;PRATA;REFRIGERADO;NESTLE;5;-2,49;-12,45;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12354550;CHAMYTO GO IOGURTE 100g MORANGO;;PRATA;REFRIGERADO;NESTLE;5;-2,49;-12,45;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12381132;CHAMYTO IOG 130g MGO/CER CHOCOLATE;;OURO;REFRIGERADO;NESTLE;3;-3,49;-10,47;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12381968;NINHO IOG 540g POLPA 3 SABORES;;PRATA;REFRIGERADO;NESTLE;3;-6,99;-20,97;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12382903;CHAMYTO IOG 130g MGO/CER COLORIDO;;OURO;REFRIGERADO;NESTLE;2;-3,49;-6,98;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12504511;CHANDELLE FLAN 200g BAUNILHA;;OURO;REFRIGERADO;NESTLE;3;-4,75;-14,25;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12516216;CHAMBINHO POUCH 100g MORANGO;;PRATA;REFRIGERADO;NESTLE;5;-2,49;-12,45;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12518476;NESTLE IOG 510G POLPA MORANGO;;PRATA;REFRIGERADO;NESTLE;3;-5,99;-17,97;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12519339;NESTLE IOG 510G POLPA VITAM DE FRUTAS/MG;;PRATA;REFRIGERADO;NESTLE;3;-5,99;-17,97;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12555518;CHAMYTO LEITE FERM TRAD 480G;;PRATA;REFRIGERADO;NESTLE;2;-5,99;-11,98;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12572718;NESTLE IOG 150g BICAM FRUTAS VERMELHAS;;OURO;REFRIGERADO;NESTLE;3;-3,67;-11,01;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12590316;GALBANI MANTEIGA 200G TABLETE COM SAL;;PRATA;REFRIGERADO;GALBANI;3;-9,99;-29,97;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12590318;GALBANI QUEIJO PARMESAO 50G RALADO;;PRATA;REFRIGERADO;GALBANI;20;-5,99;-119,8;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;12590333;GALBANI MANTEIGA 200G POTE COM SAL;;PRATA;REFRIGERADO;GALBANI;3;-9,99;-29,97;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;541440;ZINHO PAO BOLINHA TRAD CHURRASCO 300g;;OURO;REFRIGERADO;ZINHO;5;-8,99;-44,95;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;541446;ZINHO PAO DE ALHO BAGUETE TRAD 300g;;OURO;REFRIGERADO;ZINHO;6;-8,99;-53,94;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;610101551;CHANDELLE BEIJINHO 90G;;OURO;REFRIGERADO;NESTLE;1;-4,3;-4,3;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;610109370;CHAMYTO LEITE FERM MORANGO 480G;;PRATA;REFRIGERADO;NESTLE;2;-5,99;-11,98;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;610111370;CHAMYTO LEITE FERM UVA 480G;;PRATA;REFRIGERADO;NESTLE;2;-5,99;-11,98;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;640105531;NESTLE IOG 170G ZERO AMEIXA;;OURO;REFRIGERADO;NESTLE;3;-2,89;-8,67;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;640110482;NESTLE IOG 510G POLPA MORANGO E COCO;;PRATA;REFRIGERADO;NESTLE;2;-5,99;-11,98;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;640110528;NESTLE IOG 1,15KG ZERO MORANGO;;OURO;REFRIGERADO;NESTLE;2;-12,99;-25,98;DEVOLUCAO;
507;MARIA ELENA NUNES;Florianópolis;SC;03/08/2026;294757;VENDEDOR: ANDERSON GONCALVES SOUZA;640115528;NESTLE IOG 1,15Kg MORANGO;;PRATA;REFRIGERADO;NESTLE;2;-12,99;-25,98;DEVOLUCAO;
5248;3B MINI MERCADO E PADARIA LTDA;Florianópolis;SC;03/08/2026;294758;VENDEDOR: MARCIO LUIZ DA ROSA;108278;VISCONTI PAO TRADICIONAL 400G;;PRATA;MERCEARIA;VISCONTI;10;-4,86;-48,6;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;100113;NOTSHAKE PROTEIN CHOCOLATE 250ML NOTCO;;OURO;MERCEARIA;NOTCO;3;-3,99;-11,97;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;101068;NOTSHAKE PROTEIN MGO/TAMARA 250ML NOTCO;;OURO;MERCEARIA;NOTCO;2;-3,99;-7,98;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;12183959;CHAMYTO BIG LEITE FERM 6X120G CONJUNTO;;PRATA;REFRIGERADO;NESTLE;1;-10,74;-10,74;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;12326241;NESTLE IOG 170g GARRAFINHA VITAMINA DE F;;OURO;REFRIGERADO;NESTLE;3;-2,89;-8,67;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;12334185;NESTLE IOG 170g GARRAFINHA MORANGO;;OURO;REFRIGERADO;NESTLE;3;-2,89;-8,67;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;12342555;NESTLE IOG 170g NATURAL INTEGRAL;;PRATA;REFRIGERADO;NESTLE;3;-2,99;-8,97;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;12342556;NESTLE IOG 170g NATURAL COM MEL;;PRATA;REFRIGERADO;NESTLE;3;-2,99;-8,97;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;12343321;NINHO IOG 170g LIQ MACA/BANANA;;OURO;REFRIGERADO;NESTLE;2;-3,49;-6,98;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;12343322;NINHO IOG 170g LIQ MORANGO;;OURO;REFRIGERADO;NESTLE;3;-3,49;-10,47;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;12406318;NESTLE GREGO 90g TRADICIONAL NEOS;;OURO;REFRIGERADO;NESTLE;2;-2,49;-4,98;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;12600743;NESTLE GREGO 90g CALDA LIMAO NEOS;;OURO;REFRIGERADO;NESTLE;2;-2,49;-4,98;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;243489;BAUDUCCO PAO TRADICIONAL 390G;;PRATA;MERCEARIA;BAUDUCCO;10;-5,99;-59,9;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;610200307;CHANDELLE BEB LACTEA CHOCOLATE 200ML;;OURO;MERCEARIA;CHANDELLE UHT;12;-1,99;-23,88;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;990055;PC WAFER BITES 120G DUO TRENTO;;OURO;MERCEARIA;PECCIN;2;-9,99;-19,98;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;990112;PC WAFER BITES 120G AVELA TRENTO;;OURO;MERCEARIA;PECCIN;3;-9,99;-29,97;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;991139;PC WAFER BITES 120G BRANCO DARK TRENTO;;OURO;MERCEARIA;PECCIN;3;-9,99;-29,97;DEVOLUCAO;
1893;MERCADO GUGA EXPRESS RIBEIRAO LTDA;Florianópolis;SC;03/08/2026;294759;VENDEDOR: ANDERSON GONCALVES SOUZA;991140;PC WAFER BITES 120G AO LEITE TRENTO;;OURO;MERCEARIA;PECCIN;3;-9,99;-29,97;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12205183;NINHO FRUTI 250g MORANGO;;OURO;REFRIGERADO;NESTLE;8;-7,5;-60;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12277332;CHANDELLE 180g CHOCOLATE;;OURO;REFRIGERADO;NESTLE;24;-4,9;-117,6;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12326241;NESTLE IOG 170g GARRAFINHA VITAMINA DE F;;OURO;REFRIGERADO;NESTLE;24;-2,59;-62,16;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12334187;CHAMBINHO PETIT 320g MORANGO;;OURO;REFRIGERADO;NESTLE;16;-6,78;-108,48;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12342556;NESTLE IOG 170g NATURAL COM MEL;;PRATA;REFRIGERADO;NESTLE;28;-2,7;-75,6;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12343045;CHAMYTO LEITE FERM  450G PACK;;PRATA;REFRIGERADO;NESTLE;21;-6,08;-127,68;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12354550;CHAMYTO GO IOGURTE 100g MORANGO;;PRATA;REFRIGERADO;NESTLE;24;-2,75;-66;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12381967;NINHO IOG 850g MACA/BANANA;;OURO;REFRIGERADO;NESTLE;6;-11,47;-68,82;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12381968;NINHO IOG 540g POLPA 3 SABORES;;PRATA;REFRIGERADO;NESTLE;30;-5,5;-165;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12406318;NESTLE GREGO 90g TRADICIONAL NEOS;;OURO;REFRIGERADO;NESTLE;24;-2,65;-63,6;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12515950;NESTLE GREGO 540g TRADICIONAL/MORANGO;;OURO;REFRIGERADO;NESTLE;6;-11,5;-69;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12516216;CHAMBINHO POUCH 100g MORANGO;;PRATA;REFRIGERADO;NESTLE;24;-2,75;-66;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12518476;NESTLE IOG 510G POLPA MORANGO;;PRATA;REFRIGERADO;NESTLE;12;-5,99;-71,88;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12531300;CHANDELLE 540g CHOCOLATE;;PRATA;REFRIGERADO;NESTLE;12;-10,79;-129,48;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12551709;NESTLE IOG 340G NATURAL INTEGRAL;;PRATA;REFRIGERADO;NESTLE;12;-5,3;-63,6;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12559767;NESTLE GREGO 90g CALDA MORANGO NEOS;;OURO;REFRIGERADO;NESTLE;24;-2,65;-63,6;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;12578252;NESTLE IOG 320g NATURAL INT ZERO LACTOSE;;PRATA;REFRIGERADO;NESTLE;12;-5,3;-63,6;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294760;SUPERVISOR: DEIVID MANNES;640115528;NESTLE IOG 1,15Kg MORANGO;;PRATA;REFRIGERADO;NESTLE;12;-11,99;-143,88;DEVOLUCAO;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12205183;NINHO FRUTI 250g MORANGO;;OURO;REFRIGERADO;NESTLE;8;7,5;60;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12277332;CHANDELLE 180g CHOCOLATE;;OURO;REFRIGERADO;NESTLE;24;4,9;117,6;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12326241;NESTLE IOG 170g GARRAFINHA VITAMINA DE F;;OURO;REFRIGERADO;NESTLE;24;2,59;62,16;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12334187;CHAMBINHO PETIT 320g MORANGO;;OURO;REFRIGERADO;NESTLE;16;6,78;108,48;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12342556;NESTLE IOG 170g NATURAL COM MEL;;PRATA;REFRIGERADO;NESTLE;28;2,7;75,6;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12343045;CHAMYTO LEITE FERM  450G PACK;;PRATA;REFRIGERADO;NESTLE;21;6,08;127,68;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12354550;CHAMYTO GO IOGURTE 100g MORANGO;;PRATA;REFRIGERADO;NESTLE;24;2,75;66;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12381967;NINHO IOG 850g MACA/BANANA;;OURO;REFRIGERADO;NESTLE;6;11,47;68,82;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12381968;NINHO IOG 540g POLPA 3 SABORES;;PRATA;REFRIGERADO;NESTLE;30;5,5;165;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12406318;NESTLE GREGO 90g TRADICIONAL NEOS;;OURO;REFRIGERADO;NESTLE;24;2,65;63,6;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12515950;NESTLE GREGO 540g TRADICIONAL/MORANGO;;OURO;REFRIGERADO;NESTLE;6;11,5;69;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12516216;CHAMBINHO POUCH 100g MORANGO;;PRATA;REFRIGERADO;NESTLE;24;2,75;66;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12518476;NESTLE IOG 510G POLPA MORANGO;;PRATA;REFRIGERADO;NESTLE;12;5,99;71,88;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12531300;CHANDELLE 540g CHOCOLATE;;PRATA;REFRIGERADO;NESTLE;12;10,79;129,48;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12551709;NESTLE IOG 340G NATURAL INTEGRAL;;PRATA;REFRIGERADO;NESTLE;12;5,3;63,6;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12559767;NESTLE GREGO 90g CALDA MORANGO NEOS;;OURO;REFRIGERADO;NESTLE;24;2,65;63,6;VENDA;
2346;É DE CASA SUPERMERCADOS LTDA;Florianópolis;SC;03/08/2026;294761;SUPERVISOR: DEIVID MANNES;12578252;NESTLE IOG 320g NATURAL INT ZERO LACTOSE;;PRATA;REFRIGERADO;NESTLE;12;5,3;63,6;VENDA;
